jurisdiction,reconciled_18may2022_both,reconciled_men,reconciled_women
Total del país,46122853,22665883,23456970
Ciudad Autónoma de Buenos Aires,3122464,1441354,1681110
Buenos Aires,17407546,8581618,8825928
Catamarca,434528,217462,217066
Chaco,1189884,588038,601846
Chubut,597148,299276,297872
Córdoba,3921832,1927069,1994763
Corrientes,1188384,590289,598095
Entre Ríos,1449417,714166,735251
Formosa,620097,302521,317576
Jujuy,795110,393410,401700
La Pampa,373802,185947,187855
La Rioja,398296,198517,199779
Mendoza,2032130,998300,1033830
Misiones,1312397,651671,660726
Neuquén,688557,341060,347497
Río Negro,775839,384307,391532
Salta,1466305,727721,738584
San Juan,836714,413650,423064
San Luis,527034,262081,264953
Santa Cruz,334310,170964,163346
Santa Fe,3669573,1794354,1875219
Santiago del Estero,1044587,524197,520390
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",179436,90521,88915
Tucumán,1757461,867388,890073
