year,births,deaths,source
2001,683495,285941,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 45, Ano 2001, Tabla/Cuadro 1 (Republica Argentina row)"
2002,694684,291190,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 46, Ano 2002, Tabla/Cuadro 1 (Republica Argentina row)"
2003,697952,302064,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 47, Ano 2003, Tabla/Cuadro 1 (Republica Argentina row)"
2004,736261,294051,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 48, Ano 2004, Tabla/Cuadro 1 (Republica Argentina row)"
2005,712220,293529,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 49, Ano 2005, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2006,696451,292313,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 50, Ano 2006, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2007,700792,315852,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 51, Ano 2007, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2008,746460,302133,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 52, Ano 2008, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2009,745336,304525,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 53, Ano 2009, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2010,756176,318602,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 54, Ano 2010, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2011,758042,319059,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 55, Ano 2011, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2012,738318,319539,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 56, Ano 2012, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2013,754603,326197,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 57, Ano 2013, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2014,777012,325539,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 58, Ano 2014, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2015,770040,333407,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 59, Ano 2015, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2016,728035,352992,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 60, Ano 2016, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2017,704609,341688,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 61, Ano 2017, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2018,685394,336823,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 62, Ano 2018, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2019,625441,341728,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 63, Ano 2019, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2020,533299,376219,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 64, Ano 2020, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2021,529794,436799,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 65, Ano 2021, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
2022,495295,397115,"DEIS, Estadisticas Vitales - Informacion Basica, Serie 5 No 66, Ano 2022, Tabla/Cuadro 1 (Republica Argentina row); cross-checked against DEIS aggregated microdata CSV (sum of CUENTA)"
