jurisdiction,pop_definitive_2022
Ciudad Autónoma de Buenos Aires,3121707
Buenos Aires,17523996
Catamarca,429562
Chaco,1129606
Chubut,592621
Córdoba,3840905
Corrientes,1212696
Entre Ríos,1425578
Formosa,607419
Jujuy,811611
La Pampa,361859
La Rioja,383865
Mendoza,2043540
Misiones,1278873
Neuquén,710814
Río Negro,750768
Salta,1441351
San Juan,822853
San Luis,542069
Santa Cruz,337226
Santa Fe,3544908
Santiago del Estero,1060906
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",185732
Tucumán,1731820
