jurisdiction,ad40_reconciled_18may2022,ad40_base_1jul2022,census_definitive_2022,census_provisional_2022,recon_minus_census_persons,recon_minus_census_pct,definitive_minus_provisional
Chaco,1189884,1190747,1129606,1142963,60278,5.34,-13357
La Rioja,398296,398518,383865,384607,14431,3.76,-742
Santa Fe,3669573,3670163,3544908,3556522,124665,3.52,-11614
Río Negro,775839,776389,750768,762067,25071,3.34,-11299
La Pampa,373802,373976,361859,366022,11943,3.3,-4163
Misiones,1312397,1313583,1278873,1280960,33524,2.62,-2087
Córdoba,3921832,3923244,3840905,3978984,80927,2.11,-138079
Formosa,620097,620502,607419,606041,12678,2.09,1378
Salta,1466305,1467237,1441351,1440672,24954,1.73,679
San Juan,836714,837233,822853,818234,13861,1.68,4619
Entre Ríos,1449417,1449787,1425578,1426426,23839,1.67,-848
Tucumán,1757461,1758288,1731820,1703186,25641,1.48,28634
Catamarca,434528,434741,429562,429556,4966,1.16,6
Chubut,597148,597366,592621,603120,4527,0.76,-10499
Ciudad Autónoma de Buenos Aires,3122464,3121189,3121707,3120612,757,0.02,1095
Mendoza,2032130,2032783,2043540,2014533,-11410,-0.56,29007
Buenos Aires,17407546,17409376,17523996,17569053,-116450,-0.66,-45057
Santa Cruz,334310,334397,337226,333473,-2916,-0.86,3753
Santiago del Estero,1044587,1045276,1060906,1054028,-16319,-1.54,6878
Corrientes,1188384,1189015,1212696,1197553,-24312,-2.0,15143
Jujuy,795110,795372,811611,797955,-16501,-2.03,13656
San Luis,527034,527530,542069,540905,-15035,-2.77,1164
Neuquén,688557,689222,710814,726590,-22257,-3.13,-15776
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",179436,179645,185732,190641,-6296,-3.39,-4909
