continent,country_of_birth,persons,women,men,check_sum_jurisdictions,universe,source_table,source_file,source_page
Total,Total,1933463,1061421,872042,1933463,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Angola,177,88,89,177,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Argelia,138,59,79,138,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Benin,6,2,4,6,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Botswana,8,4,4,8,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Burkina Faso,18,13,5,18,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Burundi,8,3,5,8,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Cabo Verde,46,24,22,46,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Camerún,40,6,34,40,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
África,Chad,7,2,5,7,Poblacion en viviendas particulares (private dwellings only),"Cuadro 10. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por lugar de nacimiento, segun sexo registrado al nacer y jurisdiccion. Ano 2022",c2022_tp_migraciones_c10.xlsx,web table (not in PDF); PDF top-30 list p.13
