country_or_group,total,women_total,women_0_14,women_15_24,women_25_64,women_65plus,men_total,men_0_14,men_15_24,men_25_64,men_65plus,universe,source_table,source_file
Total,1933463,1061421,57290,103071,669658,231402,872042,58944,93991,555809,163298,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
AMÉRICA,1567110,862145,40560,86245,590433,144907,704965,41921,78988,482246,101810,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
Países limítrofes,1155306,641624,22293,58090,430194,131047,513682,22887,51866,346690,92239,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
Bolivia,338299,177186,9004,18444,126090,23648,161113,9506,17510,113708,20389,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
Brasil,49943,30520,1728,6565,17675,4552,19423,1813,3798,11208,2604,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
Chile,149082,83659,1534,2230,45852,34043,65423,1614,2005,36413,25391,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
Paraguay,522598,298850,8732,29153,209556,51409,223748,8703,26990,157313,30742,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
Uruguay,95384,51409,1295,1698,31021,17395,43975,1251,1563,28048,13113,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
Países no limítrofes (América),411804,220521,18267,28155,160239,13860,191283,19034,27122,135556,9571,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
Colombia,46482,24399,2034,3548,17362,1455,22083,2149,3343,15688,903,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
Perú,156251,85768,3226,8285,67324,6933,70483,3296,8073,53439,5675,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
Venezuela,161495,85118,10390,10322,60120,4286,76377,10707,9894,53803,1973,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
Resto de América,47576,25236,2617,6000,15433,1186,22340,2882,5812,12626,1020,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
EUROPA,145808,82782,3464,3723,11447,64148,63026,3641,3693,11517,44175,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
España,48492,27550,2088,2165,3095,20202,20942,2204,2239,3130,13369,Poblacion en viviendas particulares,"Cuadro 3. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por sexo registrado al nacer y grupo de edad, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c3.xlsx
