continent,country_of_birth,total,Hasta 1989,De 1990 a 1999,De 2000 a 2004,De 2005 a 2009,De 2010 a 2014,De 2015 a 2019,De 2020 a 2022,Ignorado,universe,source_table,source_file,source_page
,Total,1933463,476082,184776,120297,214705,175909,255262,62667,443765,Poblacion en viviendas particulares,"Cuadro 13. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por ano de llegada al pais, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c13.xlsx,coarser 5-period version printed in PDF p.28
América,Total América,1567110,355075,168403,110873,198271,156284,237859,57175,283170,Poblacion en viviendas particulares,"Cuadro 13. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por ano de llegada al pais, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c13.xlsx,coarser 5-period version printed in PDF p.28
América,Países limítrofes,1155306,340305,130329,88139,157751,107830,79259,25229,226464,Poblacion en viviendas particulares,"Cuadro 13. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por ano de llegada al pais, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c13.xlsx,coarser 5-period version printed in PDF p.28
América,Bolivia,338299,62993,50196,31388,51391,36627,26301,6433,72970,Poblacion en viviendas particulares,"Cuadro 13. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por ano de llegada al pais, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c13.xlsx,coarser 5-period version printed in PDF p.28
América,Brasil,49943,9699,3680,1931,2588,4297,12478,7435,7835,Poblacion en viviendas particulares,"Cuadro 13. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por ano de llegada al pais, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c13.xlsx,coarser 5-period version printed in PDF p.28
América,Chile,149082,101454,9759,2129,3198,3271,3513,2205,23553,Poblacion en viviendas particulares,"Cuadro 13. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por ano de llegada al pais, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c13.xlsx,coarser 5-period version printed in PDF p.28
América,Paraguay,522598,108631,59981,49779,97167,60809,34035,8058,104138,Poblacion en viviendas particulares,"Cuadro 13. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por ano de llegada al pais, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c13.xlsx,coarser 5-period version printed in PDF p.28
América,Uruguay,95384,57528,6713,2912,3407,2826,2932,1098,17968,Poblacion en viviendas particulares,"Cuadro 13. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por ano de llegada al pais, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c13.xlsx,coarser 5-period version printed in PDF p.28
América,Países no limítrofes,411804,14770,38074,22734,40520,48454,158600,31946,56706,Poblacion en viviendas particulares,"Cuadro 13. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por ano de llegada al pais, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c13.xlsx,coarser 5-period version printed in PDF p.28
América,Colombia,46482,883,746,744,3211,11478,15422,4525,9473,Poblacion en viviendas particulares,"Cuadro 13. Total del pais. Poblacion en viviendas particulares nacida en otro pais, por ano de llegada al pais, segun lugar de nacimiento. Ano 2022",c2022_tp_migraciones_c13.xlsx,coarser 5-period version printed in PDF p.28
