code,jurisdiction,pop_private_dwellings,born_this_province,born_other_province,born_other_country,universe,source_table,source_file,source_page
Total,Total del pais,45618787,36772721,6912603,1933463,Poblacion en viviendas particulares,"Cuadro 1. Total del pais. Poblacion en viviendas particulares por lugar de nacimiento, segun jurisdiccion. Ano 2022",c2022_tp_migraciones_c1.xlsx,PDF p.27
02,Ciudad Autónoma de Buenos Aires,3095454,2051723,624640,419091,Poblacion en viviendas particulares,"Cuadro 1. Total del pais. Poblacion en viviendas particulares por lugar de nacimiento, segun jurisdiccion. Ano 2022",c2022_tp_migraciones_c1.xlsx,PDF p.27
06,Buenos Aires,17408906,13667461,2746792,994653,Poblacion en viviendas particulares,"Cuadro 1. Total del pais. Poblacion en viviendas particulares por lugar de nacimiento, segun jurisdiccion. Ano 2022",c2022_tp_migraciones_c1.xlsx,PDF p.27
,24 Partidos del Gran Buenos Aires,10801336,8142687,1918294,740355,Poblacion en viviendas particulares,"Cuadro 1. Total del pais. Poblacion en viviendas particulares por lugar de nacimiento, segun jurisdiccion. Ano 2022",c2022_tp_migraciones_c1.xlsx,PDF p.27
,Resto de la Provincia de Buenos Aires,6607570,5524774,828498,254298,Poblacion en viviendas particulares,"Cuadro 1. Total del pais. Poblacion en viviendas particulares por lugar de nacimiento, segun jurisdiccion. Ano 2022",c2022_tp_migraciones_c1.xlsx,PDF p.27
10,Catamarca,427625,363459,61935,2231,Poblacion en viviendas particulares,"Cuadro 1. Total del pais. Poblacion en viviendas particulares por lugar de nacimiento, segun jurisdiccion. Ano 2022",c2022_tp_migraciones_c1.xlsx,PDF p.27
22,Chaco,1124603,1025532,93082,5989,Poblacion en viviendas particulares,"Cuadro 1. Total del pais. Poblacion en viviendas particulares por lugar de nacimiento, segun jurisdiccion. Ano 2022",c2022_tp_migraciones_c1.xlsx,PDF p.27
26,Chubut,589454,413880,146598,28976,Poblacion en viviendas particulares,"Cuadro 1. Total del pais. Poblacion en viviendas particulares por lugar de nacimiento, segun jurisdiccion. Ano 2022",c2022_tp_migraciones_c1.xlsx,PDF p.27
14,Córdoba,3812064,3216243,530118,65703,Poblacion en viviendas particulares,"Cuadro 1. Total del pais. Poblacion en viviendas particulares por lugar de nacimiento, segun jurisdiccion. Ano 2022",c2022_tp_migraciones_c1.xlsx,PDF p.27
18,Corrientes,1209671,1052341,144177,13153,Poblacion en viviendas particulares,"Cuadro 1. Total del pais. Poblacion en viviendas particulares por lugar de nacimiento, segun jurisdiccion. Ano 2022",c2022_tp_migraciones_c1.xlsx,PDF p.27
