pais,pct_en_CABA,pct_en_40_partidos_AMBA,alerta,fuente_grafico,pagina_impresa,pagina_pdf,fuente
Colombia,74.0,,,Grafico 13 / texto,21-22 y 28-29,22-23 y 29-30,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Brasil,70.0,70.7,discrepancia,Grafico 13 / texto,21-22 y 28-29,22-23 y 29-30,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Venezuela,69.1,69.1,,Grafico 13 / texto,21-22 y 28-29,22-23 y 29-30,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Peru,51.8,51.8,,Grafico 13 / texto,21-22 y 28-29,22-23 y 29-30,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Paraguay,,77.6,,Grafico 13 / texto,21-22 y 28-29,22-23 y 29-30,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Italia,,74.5,,Grafico 13 / texto,21-22 y 28-29,22-23 y 29-30,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Chile,,60.4,,Grafico 13 / texto,21-22 y 28-29,22-23 y 29-30,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Uruguay,,59.4,,Grafico 13 / texto,21-22 y 28-29,22-23 y 29-30,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Bolivia,59.9,56.9,discrepancia,Grafico 13 / texto,21-22 y 28-29,22-23 y 29-30,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Espana,,53.1,,Grafico 13 / texto,21-22 y 28-29,22-23 y 29-30,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
