pais,pct_censo_2010,pct_renaper_2022,rank_2010,rank_2022,fuente_grafico,pagina_impresa,pagina_pdf,nota,fuente
Paraguay,30.5,29.7,1,1,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Bolivia,19.1,21.7,2,2,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Peru,8.7,9.5,4,3,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Venezuela,0.4,7.3,16,4,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Chile,10.6,7.0,3,5,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Uruguay,6.5,4.2,6,6,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Colombia,1.0,3.7,10,7,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Brasil,2.3,3.1,8,8,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Italia,8.2,2.9,5,9,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Espana,5.2,2.3,7,10,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
China,0.5,1.7,11,11,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Estados Unidos,1.1,1.0,9,12,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Ecuador,,0.9,,13,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Republica Dominicana,0.3,0.6,18,14,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Mexico,0.3,0.4,17,15,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Francia,0.4,0.3,13,16,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Corea del Sur,0.3,0.3,19,17,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Alemania,0.5,0.3,12,18,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Cuba,,0.3,,19,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Ucrania,0.3,0.2,20,20,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Portugal,0.4,,14,,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Polonia,0.4,,15,,Graficos 14 y 15,26,27,Etiquetas de datos leidas de la imagen del grafico; columna 2022 validada contra Tabla 1,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
