grupo_edad,varones_pct,mujeres_pct,total_pct,varones_n_implicito,mujeres_n_implicito,total_n_implicito,indice_feminidad,fuente_grafico,pagina_impresa,pagina_pdf,nota_metodo,fuente
0 a 4,0.14,0.12,0.26,4247,3641,7888,85.7,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
5 a 9,0.81,0.76,1.57,24574,23057,47630,93.8,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
10 a 14,1.28,1.23,2.51,38832,37316,76148,96.1,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
15 a 19,1.87,1.84,3.71,56732,55822,112553,98.4,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
20 a 24,2.88,2.93,5.81,87373,88890,176263,101.7,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
25 a 29,5.16,4.97,10.13,156543,150779,307323,96.3,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
30 a 34,6.55,6.29,12.84,198713,190825,389538,96.0,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
35 a 39,5.98,5.66,11.64,181420,171712,353133,94.6,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
40 a 44,4.59,4.59,9.18,139251,139251,278502,100.0,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
45 a 49,3.43,3.76,7.19,104059,114070,218129,109.6,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
50 a 54,3.12,3.59,6.71,94654,108913,203567,115.1,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
55 a 59,2.68,3.29,5.97,81305,99812,181117,122.8,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
60 a 64,2.2,2.79,4.99,66743,84643,151386,126.8,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
65 a 69,1.99,2.56,4.55,60372,77665,138037,128.6,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
70 a 74,2.04,2.48,4.52,61889,75238,137127,121.6,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
75 a 79,1.71,2.13,3.84,51878,64620,116497,124.6,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
80 a 84,1.02,1.37,2.39,30945,41563,72507,134.3,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
85 a 89,0.52,0.8,1.32,15776,24270,40046,153.8,Grafico 2,11,12,DIGITALIZADO por medicion de pixeles; el informe no publica la tabla,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
