pais_de_nacimiento,2022-08_informe_DNP,2024-08_datos_abiertos,2025-01_datos_abiertos,2025-06_datos_abiertos,2026-06_datos_abiertos
Paraguay,900238,744306,754673,721735,711122
Bolivia,658559,542872,535370,528177,551789
Perú,289430,227179,213767,207647,207428
Venezuela,220595,197395,196573,185245,197682
Chile,211662,182173,183045,175836,171086
Uruguay,128333,111814,113475,107933,105983
Colombia,111969,68057,62766,57639,57670
Brasil,94897,76323,79448,69538,67248
Italia,88799,74311,70728,68236,64134
España,71064,55028,54422,51039,
China,51361,31946,31924,30111,
Ecuador,27350,27619,28896,24535,25002
TOTAL,3033786,2470453,2458191,2349816,2367573
