pais_de_origen,cantidad,porcentaje,fuente_tabla,pagina_impresa,pagina_pdf,fecha_referencia,fuente
Paraguay,900238,29.67,Tabla 1,9,10,2022-08,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Bolivia,658559,21.71,Tabla 1,9,10,2022-08,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Peru,289430,9.54,Tabla 1,9,10,2022-08,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Venezuela,220595,7.27,Tabla 1,9,10,2022-08,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Chile,211662,6.98,Tabla 1,9,10,2022-08,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Uruguay,128333,4.23,Tabla 1,9,10,2022-08,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Colombia,111969,3.69,Tabla 1,9,10,2022-08,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Brasil,94897,3.13,Tabla 1,9,10,2022-08,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Italia,88799,2.93,Tabla 1,9,10,2022-08,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Espana,71064,2.34,Tabla 1,9,10,2022-08,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Otro pais,258240,8.51,Tabla 1,9,10,2022-08,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Total,3033786,100.0,Tabla 1,9,10,2022-08,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
