pais_de_origen,AMBA,Centro,Cuyo,NEA,NOA,Patagonia,suma_fila,fuente_tabla,pagina_impresa,pagina_pdf,fuente
Bolivia,61.5,11.7,7.0,0.4,13.0,6.4,100.0,Tabla 2,17,18,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Brasil,56.8,19.5,1.6,16.7,2.5,2.9,100.0,Tabla 2,17,18,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Chile,19.9,14.3,11.6,0.5,1.6,52.2,100.1,Tabla 2,17,18,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Colombia,72.0,12.8,3.2,5.2,3.4,3.5,100.1,Tabla 2,17,18,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Espana,61.7,22.5,7.3,1.3,2.7,4.5,100.0,Tabla 2,17,18,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Italia,71.0,21.6,3.3,0.6,1.1,2.4,100.0,Tabla 2,17,18,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Otro pais,67.8,17.4,3.8,2.2,3.1,5.6,99.9,Tabla 2,17,18,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Paraguay,74.2,13.5,0.2,10.3,0.3,1.6,100.1,Tabla 2,17,18,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Peru,78.7,14.7,3.4,0.4,1.3,1.5,100.0,Tabla 2,17,18,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Uruguay,73.7,20.3,1.1,1.4,1.0,2.5,100.0,Tabla 2,17,18,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Venezuela,81.9,10.6,2.0,0.5,1.0,4.1,100.1,Tabla 2,17,18,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
Total,67.1,14.3,3.7,4.3,3.8,6.9,100.1,Tabla 2,17,18,"DNP/RENAPER (Dec 2022), Caracterizacion de la migracion internacional en Argentina a partir de los registros administrativos del RENAPER"
