grupo_edad,renaper_pct_digitalizado,censo2022_pct,renaper_n_implicito,censo2022_n,ratio_renaper_censo
0-4,0.26,1.06,7888,20579,0.38
5-9,1.58,2.08,47934,40130,1.19
10-14,2.51,2.87,76148,55525,1.37
15-19,3.71,4.44,112553,85843,1.31
20-24,5.8,5.75,175960,111219,1.58
25-29,10.13,8.06,307323,155745,1.97
30-34,12.84,10.08,389538,194930,2.0
35-39,11.64,10.02,353133,193685,1.82
40-44,9.18,8.56,278502,165504,1.68
45-49,7.19,7.5,218129,145046,1.5
50-54,6.7,7.17,203264,138706,1.47
55-59,5.98,6.52,181420,126000,1.44
60-64,4.99,5.47,151386,105851,1.43
65-69,4.56,5.11,138341,98792,1.4
70-74,4.52,5.25,137127,101522,1.35
75-79,3.85,4.47,116801,86460,1.35
80-84,2.39,2.83,72507,54623,1.33
85-89,1.32,1.65,40046,31911,1.25
90-94,0.66,0.81,20023,15693,1.28
95-99,0.19,0.26,5764,5059,1.14
100 y más,0.02,0.03,607,640,0.95
Total,100.0,100.0,3033786,1933463,1.569
