pais_de_nacimiento,renaper_ago2022,censo2022_18may2022,ratio_bruto,censo2022_ajustado_redistribuyendo_pais_ignorado,ratio_ajustado
Paraguay,900238,522598,1.723,576005,1.563
Bolivia,658559,338299,1.947,372872,1.766
Perú,289430,156251,1.852,172219,1.681
Venezuela,220595,161495,1.366,177999,1.239
Chile,211662,149082,1.42,164318,1.288
Uruguay,128333,95384,1.345,105132,1.221
Colombia,111969,46482,2.409,51232,2.186
Brasil,94897,49943,1.9,55047,1.724
Italia,88799,68169,1.303,75136,1.182
España,71064,48492,1.465,53448,1.33
China,51361,18629,2.757,20533,2.501
Ecuador,27350,8879,3.08,9786,2.795
TOTAL,3033786,1933463,1.569,1933463,1.569
