jurisdiction,census_definitive_2022,census_provisional_2022,ad40_reconciled_18may2022,ad40_base_1jul2022,recon_minus_census_persons,recon_minus_census_pct,definitive_minus_provisional,n_settlements,renabap_families,building_count,footprint_families,renabap_pop_2.8,renabap_pop_3.35,footprint_pop_2.8,footprint_pop_3.35,footprint_minus_renabap_families,footprint_renabap_ratio,footprint_minus_renabap_pop_2.8,renabap_pop_2.8_pct_of_census,footprint_pop_2.8_pct_of_census,footprint_gap_pct_of_census,recon_gap_minus_footprint_gap_pct
Chaco,1129606,1142963,1189884,1190747,60278,5.34,-13357,442,55821,107865,118816.9,156299,187000,332687,398037,62995.9,2.129,176388,13.84,29.45,15.62,-10.28
La Rioja,383865,384607,398296,398518,14431,3.76,-742,34,2476,6715,7386.5,6933,8295,20682,24745,4910.5,2.983,13749,1.81,5.39,3.58,0.18
Santa Fe,3544908,3556522,3669573,3670163,124665,3.52,-11614,469,92776,134103,153170.9,259773,310800,428879,513123,60394.9,1.651,169106,7.33,12.1,4.77,-1.25
Río Negro,750768,762067,775839,776389,25071,3.34,-11299,240,36239,51057,61857.7,101469,121401,173202,207223,25618.7,1.707,71733,13.52,23.07,9.55,-6.21
La Pampa,361859,366022,373802,373976,11943,3.3,-4163,9,409,1051,1156.1,1145,1370,3237,3873,747.1,2.827,2092,0.32,0.89,0.58,2.72
Misiones,1278873,1280960,1312397,1313583,33524,2.62,-2087,413,58322,87582,99990.3,163302,195379,279973,334968,41668.3,1.714,116671,12.77,21.89,9.12,-6.5
Córdoba,3840905,3978984,3921832,3923244,80927,2.11,-138079,318,37039,55755,63096.6,103709,124081,176670,211374,26057.6,1.704,72961,2.7,4.6,1.9,0.21
Formosa,607419,606041,620097,620502,12678,2.09,1378,126,27942,48742,54532.9,78238,93606,152692,182685,26590.9,1.952,74454,12.88,25.14,12.26,-10.17
Salta,1441351,1440672,1466305,1467237,24954,1.73,679,354,39319,65824,74776.7,110093,131719,209375,250502,35457.7,1.902,99282,7.64,14.53,6.89,-5.16
San Juan,822853,818234,836714,837233,13861,1.68,4619,81,5563,9445,10508.5,15576,18636,29424,35203,4945.5,1.889,13848,1.89,3.58,1.68,0.0
Entre Ríos,1425578,1426426,1449417,1449787,23839,1.67,-848,231,26276,41912,46799.4,73573,88025,131038,156778,20523.4,1.781,57465,5.16,9.19,4.03,-2.36
Tucumán,1731820,1703186,1757461,1758288,25641,1.48,28634,370,48003,82136,92044.4,134408,160810,257724,308349,44041.4,1.917,123316,7.76,14.88,7.12,-5.64
Catamarca,429562,429556,434528,434741,4966,1.16,6,61,3936,6490,7349.5,11021,13186,20579,24621,3413.5,1.867,9558,2.57,4.79,2.23,-1.07
Chubut,592621,603120,597148,597366,4527,0.76,-10499,83,10660,19862,22219.3,29848,35711,62214,74435,11559.3,2.084,32366,5.04,10.5,5.46,-4.7
Ciudad Autónoma de Buenos Aires,3121707,3120612,3122464,3121189,757,0.02,1095,49,80517,27730,80960.0,225448,269732,226688,271216,443.0,1.006,1240,7.22,7.26,0.04,-0.02
Mendoza,2043540,2014533,2032130,2032783,-11410,-0.56,29007,360,26432,47634,52617.9,74010,88547,147330,176270,26185.9,1.991,73320,3.62,7.21,3.59,-4.15
Buenos Aires,17523996,17569053,17407546,17409376,-116450,-0.66,-45057,2065,588779,997071,1119568.6,1648581,1972410,3134792,3750555,530789.6,1.902,1486211,9.41,17.89,8.48,-9.14
Santa Cruz,337226,333473,334310,334397,-2916,-0.86,3753,21,2863,6539,7192.9,8016,9591,20140,24096,4329.9,2.512,12124,2.38,5.97,3.6,-4.46
Santiago del Estero,1060906,1054028,1044587,1045276,-16319,-1.54,6878,128,20947,44945,49660.5,58652,70172,139049,166363,28713.5,2.371,80397,5.53,13.11,7.58,-9.12
Corrientes,1212696,1197553,1188384,1189015,-24312,-2.0,15143,257,29136,50276,56226.7,81581,97606,157435,188359,27090.7,1.93,75854,6.73,12.98,6.25,-8.25
Jujuy,811611,797955,795110,795372,-16501,-2.03,13656,159,18938,27962,31355.9,53026,63442,87797,105042,12417.9,1.656,34771,6.53,10.82,4.28,-6.31
San Luis,542069,540905,527034,527530,-15035,-2.77,1164,32,4442,7912,8714.1,12438,14881,24399,29192,4272.1,1.962,11961,2.29,4.5,2.21,-4.98
Neuquén,710814,726590,688557,689222,-22257,-3.13,-15776,116,14813,26881,30074.3,41476,49624,84208,100749,15261.3,2.03,42732,5.84,11.85,6.01,-9.14
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",185732,190641,179436,179645,-6296,-3.39,-4909,49,6147,11524,12721.9,17212,20592,35621,42618,6574.9,2.07,18409,9.27,19.18,9.91,-13.3
